applicant_name,age,gender,marital_status,education,employment_status,annual_income,monthly_income,coapplicant_income,loan_amount,loan_term,credit_score,existing_loans,savings,property_area,dti_ratio,collateral_value,loan_purpose,dependents,loan_status
Elizabeth Brown,32,Male,Divorced,Not Graduate,Salaried,80600.0,6716.67,0.0,198000.0,60,661,2,23600.0,Rural,58.06,277400.0,Business Loan,4,1
Priya Gonzalez,21,Male,Married,Graduate,Salaried,36700.0,3058.33,3600.0,286000.0,48,503,4,9700.0,Semiurban,85.0,83400.0,Personal Loan,0,0
Sarah Martinez,40,Male,Single,Post Graduate,Self-Employed,108100.0,9008.33,0.0,150000.0,24,612,1,24000.0,Semiurban,72.71,210000.0,Business Loan,1,1
Barbara Johnson,48,Male,Single,Graduate,Unemployed,74200.0,6183.33,0.0,84000.0,60,652,3,3700.0,Semiurban,37.2,16000.0,Personal Loan,0,1
Elizabeth Wilson,63,Female,Married,Post Graduate,Salaried,43100.0,3591.67,3700.0,327000.0,60,694,0,85800.0,Semiurban,85.0,429000.0,Auto Loan,1,1
Patricia Wilson,57,Male,Single,Graduate,Self-Employed,23600.0,1966.67,0.0,221000.0,48,781,2,10300.0,Urban,85.0,78200.0,Education Loan,2,0
Jessica Sharma,67,Female,Divorced,Graduate,Salaried,79400.0,6616.67,0.0,205000.0,48,843,0,76900.0,Semiurban,64.55,257800.0,Auto Loan,1,1
Linda Wilson,57,Male,Married,Not Graduate,Salaried,63200.0,5266.67,28700.0,163000.0,60,702,0,11800.0,Semiurban,35.47,19100.0,Personal Loan,2,1
Amit Lopez,32,Male,Married,Graduate,Self-Employed,20100.0,1675.0,11000.0,240000.0,360,696,0,45700.0,Semiurban,25.72,114000.0,Personal Loan,0,0
Carlos Wilson,57,Female,Single,Graduate,Salaried,20400.0,1700.0,0.0,204000.0,240,641,0,8500.0,Urban,50.0,74900.0,Personal Loan,4,0
Linda Jones,64,Female,Single,Graduate,Salaried,94400.0,7866.67,0.0,137000.0,24,543,0,33200.0,Rural,72.56,36500.0,Personal Loan,0,0
Jessica Gonzalez,48,Male,Married,Graduate,Self-Employed,33500.0,2791.67,15000.0,152000.0,360,632,3,11700.0,Urban,32.71,197500.0,Home Loan,0,1
Sarah Sharma,67,Female,Married,Graduate,Business,65500.0,5458.33,7800.0,88000.0,180,664,2,21300.0,Urban,17.83,128400.0,Auto Loan,0,1
Rahul Davis,35,Female,Married,Graduate,Salaried,47200.0,3933.33,2400.0,77000.0,360,758,0,33600.0,Rural,5.17,97500.0,Home Loan,2,1
Carlos Lopez,26,Male,Single,Graduate,Salaried,109600.0,9133.33,0.0,153000.0,60,722,0,26700.0,Rural,27.92,227400.0,Home Loan,2,1
Richard Rodriguez,64,Male,Married,Graduate,Business,132000.0,11000.0,5800.0,284000.0,60,698,2,25800.0,Urban,46.44,320700.0,Auto Loan,1,1
Joseph Gonzalez,40,Female,Married,Not Graduate,Business,278600.0,23216.67,48000.0,87000.0,360,634,0,2000.0,Rural,5.0,105300.0,Home Loan,1,1
James Rodriguez,34,Female,Married,Graduate,Self-Employed,27500.0,2291.67,2100.0,255000.0,48,521,0,8600.0,Urban,85.0,424300.0,Business Loan,2,0
Michael Rodriguez,22,Male,Single,Post Graduate,Salaried,109400.0,9116.67,0.0,108000.0,360,526,1,25400.0,Semiurban,6.58,121900.0,Business Loan,2,1
Ananya Smith,29,Female,Single,Post Graduate,Business,33900.0,2825.0,0.0,19000.0,360,547,1,600.0,Semiurban,12.49,5600.0,Education Loan,1,1
Barbara Davis,57,Male,Married,Graduate,Salaried,60200.0,5016.67,8000.0,229000.0,360,657,0,8700.0,Semiurban,11.19,222700.0,Auto Loan,2,1
Ananya Sharma,40,Male,Married,Not Graduate,Self-Employed,51700.0,4308.33,21600.0,327000.0,60,760,1,7800.0,Semiurban,85.0,82000.0,Personal Loan,1,0
David Williams,46,Male,Married,Not Graduate,Salaried,20800.0,1733.33,26200.0,103000.0,48,757,1,8600.0,Urban,62.45,44600.0,Personal Loan,0,1
Thomas Davis,49,Female,Married,Post Graduate,Self-Employed,141500.0,11791.67,12100.0,39000.0,60,743,0,23000.0,Urban,5.08,22300.0,Personal Loan,0,1
John Williams,21,Female,Married,Graduate,Salaried,23700.0,1975.0,23100.0,221000.0,360,639,3,26200.0,Semiurban,38.82,338500.0,Home Loan,4,1
James Hernandez,55,Female,Married,Graduate,Salaried,72400.0,6033.33,8900.0,97000.0,60,772,1,71900.0,Urban,28.29,94500.0,Home Loan,0,1
Robert Martinez,26,Male,Married,Not Graduate,Salaried,89200.0,7433.33,22000.0,228000.0,120,606,0,14600.0,Rural,20.5,236400.0,Auto Loan,0,1
Michael Martinez,57,Male,Divorced,Not Graduate,Salaried,91400.0,7616.67,0.0,284000.0,60,748,0,78300.0,Semiurban,62.14,390600.0,Home Loan,3,1
William Lopez,25,Male,Married,Not Graduate,Self-Employed,26600.0,2216.67,9900.0,210000.0,60,546,0,31700.0,Urban,85.0,230000.0,Home Loan,0,0
Michael Rodriguez,53,Female,Divorced,Graduate,Business,46700.0,3891.67,0.0,253000.0,36,586,1,73100.0,Semiurban,85.0,309200.0,Auto Loan,2,1
Linda Lopez,34,Male,Married,Post Graduate,Unemployed,99600.0,8300.0,32500.0,253000.0,120,812,0,53800.0,Urban,19.15,325500.0,Home Loan,2,1
Mary Smith,32,Male,Single,Post Graduate,Salaried,36200.0,3016.67,0.0,269000.0,360,664,1,34900.0,Urban,34.71,375100.0,Home Loan,4,1
Jessica Miller,62,Female,Married,Graduate,Self-Employed,48400.0,4033.33,4600.0,184000.0,12,626,0,13200.0,Urban,85.0,193400.0,Home Loan,0,1
Amit Wilson,40,Male,Single,Graduate,Self-Employed,34300.0,2858.33,0.0,250000.0,360,768,1,8300.0,Rural,34.79,240800.0,Auto Loan,0,0
Ananya Jones,44,Female,Divorced,Graduate,Salaried,48000.0,4000.0,0.0,195000.0,180,777,2,7500.0,Urban,42.08,233700.0,Auto Loan,3,1
John Lopez,63,Male,Married,Not Graduate,Salaried,118500.0,9875.0,2200.0,215000.0,180,645,1,91200.0,Urban,14.86,189600.0,Auto Loan,0,1
Linda Garcia,54,Female,Single,Not Graduate,Self-Employed,47300.0,3941.67,0.0,455000.0,180,702,1,95500.0,Urban,71.74,603700.0,Home Loan,1,1
John Smith,45,Male,Married,Not Graduate,Business,56500.0,4708.33,2800.0,202000.0,48,691,3,38700.0,Urban,85.0,331200.0,Auto Loan,2,1
John Jones,49,Female,Divorced,Graduate,Self-Employed,43300.0,3608.33,0.0,45000.0,60,454,1,64600.0,Urban,29.1,13300.0,Personal Loan,0,0
Joseph Wilson,59,Male,Single,Graduate,Salaried,47700.0,3975.0,0.0,162000.0,240,568,0,75400.0,Rural,16.98,64200.0,Personal Loan,3,0
John Smith,51,Male,Married,Graduate,Salaried,20700.0,1725.0,13800.0,152000.0,60,755,1,21500.0,Rural,85.0,54400.0,Personal Loan,1,0
Robert Martinez,67,Male,Married,Graduate,Salaried,35000.0,2916.67,12900.0,156000.0,60,613,2,29800.0,Urban,80.17,93100.0,Personal Loan,0,0
Amit Sharma,63,Male,Married,Not Graduate,Self-Employed,45800.0,3816.67,46400.0,266000.0,12,722,0,16300.0,Semiurban,85.0,91800.0,Personal Loan,0,0
Susan Miller,43,Male,Married,Post Graduate,Self-Employed,65200.0,5433.33,700.0,282000.0,240,701,0,16300.0,Rural,21.4,502900.0,Auto Loan,0,1
William Sharma,64,Female,Single,Post Graduate,Salaried,46900.0,3908.33,0.0,170000.0,60,777,1,1200.0,Urban,80.17,196900.0,Home Loan,0,1
Joseph Martinez,58,Male,Single,Post Graduate,Business,38500.0,3208.33,0.0,55000.0,120,571,1,17100.0,Urban,23.64,7500.0,Personal Loan,2,1
Elizabeth Lopez,40,Female,Married,Graduate,Salaried,42100.0,3508.33,18600.0,189000.0,36,712,2,33600.0,Rural,85.0,27100.0,Personal Loan,0,0
Richard Williams,43,Female,Married,Graduate,Unemployed,32500.0,2708.33,13100.0,131000.0,360,675,0,16400.0,Semiurban,9.58,56300.0,Personal Loan,0,1
Michael Smith,65,Female,Divorced,Not Graduate,Salaried,136300.0,11358.33,0.0,199000.0,60,617,0,61800.0,Urban,29.2,45700.0,Personal Loan,3,1
Karen Gonzalez,36,Male,Single,Post Graduate,Salaried,53200.0,4433.33,0.0,169000.0,180,616,3,12100.0,Urban,41.48,218700.0,Business Loan,1,1
Patricia Wilson,62,Male,Married,Graduate,Salaried,20600.0,1716.67,33800.0,289000.0,120,698,0,4300.0,Urban,53.12,321100.0,Business Loan,0,1
Robert Miller,28,Female,Single,Graduate,Salaried,20900.0,1741.67,0.0,205000.0,240,730,0,50100.0,Urban,49.04,239600.0,Auto Loan,3,1
Michael Gonzalez,41,Female,Single,Graduate,Salaried,182500.0,15208.33,0.0,131000.0,48,685,1,33600.0,Semiurban,19.92,146800.0,Auto Loan,0,1
Joseph Hernandez,21,Male,Married,Not Graduate,Self-Employed,31300.0,2608.33,43400.0,55000.0,240,688,2,8300.0,Semiurban,13.32,67400.0,Home Loan,3,1
Patricia Gonzalez,28,Male,Married,Graduate,Self-Employed,93700.0,7808.33,21000.0,176000.0,60,640,2,23100.0,Semiurban,36.97,201000.0,Auto Loan,2,1
Michael Hernandez,49,Male,Married,Graduate,Self-Employed,22700.0,1891.67,3600.0,176000.0,60,645,3,15400.0,Urban,85.0,103000.0,Personal Loan,2,0
Charles Garcia,52,Female,Divorced,Graduate,Salaried,134300.0,11191.67,0.0,156000.0,180,617,0,83800.0,Urban,7.74,170900.0,Home Loan,2,1
Mary Martinez,58,Male,Married,Graduate,Salaried,113400.0,9450.0,3000.0,250000.0,240,639,0,28000.0,Urban,10.74,287700.0,Home Loan,1,1
Richard Wilson,25,Male,Divorced,Post Graduate,Salaried,58100.0,4841.67,0.0,56000.0,180,728,0,5200.0,Rural,6.43,69200.0,Home Loan,2,1
Carlos Jones,67,Female,Married,Graduate,Self-Employed,20400.0,1700.0,4000.0,111000.0,360,737,2,20900.0,Semiurban,44.67,89200.0,Home Loan,2,1
Jennifer Lopez,42,Male,Married,Not Graduate,Salaried,33400.0,2783.33,5100.0,185000.0,48,578,1,59500.0,Urban,85.0,239000.0,Home Loan,0,0
Barbara Lopez,67,Male,Married,Not Graduate,Business,43500.0,3625.0,500.0,130000.0,360,608,0,33400.0,Urban,9.85,137300.0,Home Loan,0,1
Karen Wilson,54,Female,Married,Post Graduate,Self-Employed,47700.0,3975.0,25700.0,148000.0,36,623,1,55400.0,Rural,72.12,126700.0,Auto Loan,2,0
David Verma,21,Female,Single,Graduate,Salaried,35900.0,2991.67,0.0,175000.0,180,675,0,8600.0,Semiurban,32.5,299400.0,Home Loan,1,1
Amit Lopez,46,Male,Married,Post Graduate,Salaried,21500.0,1791.67,31900.0,242000.0,120,545,1,65800.0,Urban,52.06,130300.0,Personal Loan,2,0
Carlos Miller,63,Male,Single,Graduate,Salaried,60100.0,5008.33,0.0,171000.0,60,610,2,42300.0,Urban,68.89,209700.0,Business Loan,1,0
James Smith,30,Male,Married,Post Graduate,Salaried,53400.0,4450.0,46700.0,10000.0,60,569,0,39200.0,Urban,5.0,16300.0,Home Loan,1,1
Carlos Hernandez,50,Male,Married,Post Graduate,Business,35000.0,2916.67,22300.0,126000.0,120,712,0,12800.0,Rural,21.99,121800.0,Business Loan,0,1
Carlos Brown,38,Female,Single,Graduate,Business,21700.0,1808.33,0.0,225000.0,36,678,0,65600.0,Semiurban,85.0,371300.0,Auto Loan,0,1
Richard Rodriguez,37,Male,Single,Graduate,Salaried,254900.0,21241.67,0.0,249000.0,60,643,0,30500.0,Semiurban,19.54,259400.0,Home Loan,1,1
John Miller,46,Male,Divorced,Graduate,Self-Employed,49600.0,4133.33,0.0,254000.0,24,595,0,57300.0,Rural,85.0,352800.0,Home Loan,1,0
Jennifer Davis,28,Male,Married,Graduate,Self-Employed,83500.0,6958.33,30700.0,279000.0,120,644,1,13400.0,Rural,27.58,414500.0,Home Loan,1,1
William Wilson,67,Female,Single,Graduate,Self-Employed,47100.0,3925.0,0.0,191000.0,24,635,0,4700.0,Urban,85.0,325700.0,Home Loan,2,1
Robert Smith,60,Male,Married,Graduate,Salaried,22000.0,1833.33,14700.0,204000.0,36,811,3,12100.0,Urban,85.0,287200.0,Home Loan,1,1
Charles Martinez,32,Female,Married,Graduate,Salaried,36700.0,3058.33,36200.0,89000.0,24,760,0,18200.0,Semiurban,61.04,111500.0,Home Loan,2,1
Barbara Davis,47,Male,Married,Graduate,Salaried,37400.0,3116.67,35500.0,10000.0,60,625,0,22900.0,Urban,5.0,13700.0,Home Loan,0,1
Joseph Hernandez,28,Female,Divorced,Graduate,Business,102000.0,8500.0,0.0,52000.0,360,693,0,21500.0,Semiurban,5.0,13400.0,Personal Loan,1,1
Priya Verma,45,Female,Married,Graduate,Salaried,67800.0,5650.0,24000.0,117000.0,360,756,2,23700.0,Rural,12.09,174200.0,Home Loan,0,1
Ananya Rodriguez,66,Male,Single,Graduate,Salaried,34500.0,2875.0,0.0,58000.0,24,625,1,55300.0,Semiurban,85.0,57200.0,Business Loan,1,1
Karen Smith,24,Male,Married,Graduate,Business,174500.0,14541.67,400.0,154000.0,180,567,2,5600.0,Urban,9.99,209000.0,Home Loan,0,1
Thomas Martinez,53,Male,Married,Graduate,Self-Employed,37500.0,3125.0,13100.0,138000.0,180,536,2,11400.0,Urban,32.41,199800.0,Business Loan,0,1
Karen Lopez,21,Male,Single,Graduate,Business,305300.0,25441.67,0.0,264000.0,120,782,3,65800.0,Urban,12.18,448400.0,Home Loan,0,1
Michael Johnson,39,Male,Single,Post Graduate,Salaried,270300.0,22525.0,0.0,93000.0,180,665,2,24700.0,Rural,5.0,116300.0,Auto Loan,0,1
John Smith,51,Male,Single,Graduate,Salaried,29500.0,2458.33,0.0,193000.0,48,703,0,26300.0,Urban,85.0,304000.0,Home Loan,1,1
Robert Smith,36,Male,Married,Graduate,Business,36900.0,3075.0,17600.0,142000.0,60,634,2,19500.0,Urban,65.32,60200.0,Personal Loan,4,0
Ananya Smith,34,Female,Married,Graduate,Salaried,50000.0,4166.67,28900.0,89000.0,60,579,3,23900.0,Urban,36.25,85100.0,Home Loan,0,1
Thomas Johnson,25,Male,Married,Not Graduate,Salaried,69100.0,5758.33,99700.0,115000.0,24,593,4,6600.0,Rural,42.59,41500.0,Personal Loan,2,1
Mary Lopez,61,Female,Divorced,Post Graduate,Salaried,53800.0,4483.33,0.0,10000.0,180,573,0,23700.0,Semiurban,5.0,14000.0,Home Loan,1,1
Priya Miller,46,Male,Married,Post Graduate,Salaried,177000.0,14750.0,31600.0,247000.0,60,748,1,176100.0,Rural,25.41,39900.0,Personal Loan,0,1
Robert Verma,48,Female,Single,Not Graduate,Salaried,77900.0,6491.67,0.0,306000.0,48,799,0,25000.0,Semiurban,85.0,473000.0,Home Loan,0,1
James Smith,22,Female,Single,Graduate,Business,30700.0,2558.33,0.0,156000.0,60,683,0,1400.0,Semiurban,85.0,42500.0,Personal Loan,0,0
Charles Wilson,26,Male,Married,Graduate,Business,25000.0,2083.33,20400.0,183000.0,240,559,1,47800.0,Urban,28.08,260300.0,Home Loan,2,1
Mary Jones,29,Female,Single,Graduate,Business,72500.0,6041.67,0.0,153000.0,360,720,4,15100.0,Urban,26.9,151200.0,Home Loan,0,1
Barbara Martinez,53,Male,Married,Post Graduate,Salaried,27800.0,2316.67,58300.0,106000.0,180,781,1,5000.0,Semiurban,12.39,30500.0,Personal Loan,0,1
Jennifer Verma,61,Male,Married,Not Graduate,Salaried,89700.0,7475.0,53100.0,243000.0,60,758,2,59500.0,Rural,39.08,110500.0,Education Loan,0,1
Amit Brown,45,Female,Single,Not Graduate,Salaried,36800.0,3066.67,0.0,209000.0,120,678,0,6600.0,Urban,56.79,105700.0,Personal Loan,1,1
Amit Hernandez,33,Male,Married,Graduate,Business,37800.0,3150.0,1600.0,10000.0,60,661,0,76100.0,Urban,5.08,13100.0,Auto Loan,2,1
Ananya Hernandez,29,Male,Married,Not Graduate,Salaried,20500.0,1708.33,3800.0,87000.0,36,677,1,17500.0,Semiurban,85.0,47900.0,Personal Loan,0,0
Thomas Sharma,33,Female,Married,Graduate,Self-Employed,74300.0,6191.67,1200.0,10000.0,60,778,0,40700.0,Urban,5.0,1400.0,Personal Loan,1,1
Jennifer Davis,51,Female,Single,Graduate,Self-Employed,25400.0,2116.67,0.0,320000.0,120,741,2,23800.0,Semiurban,85.0,369400.0,Home Loan,1,0
Robert Brown,61,Female,Married,Graduate,Salaried,86700.0,7225.0,4100.0,165000.0,120,649,0,8900.0,Urban,18.17,270100.0,Home Loan,0,1
Mary Garcia,31,Male,Single,Graduate,Salaried,50500.0,4208.33,0.0,202000.0,360,647,1,33400.0,Urban,20.46,268300.0,Business Loan,0,1
Priya Hernandez,24,Female,Divorced,Graduate,Unemployed,89000.0,7416.67,0.0,148000.0,240,641,1,95000.0,Urban,12.36,59600.0,Personal Loan,1,1
Jessica Verma,54,Male,Single,Post Graduate,Unemployed,59500.0,4958.33,0.0,279000.0,36,595,0,44000.0,Semiurban,85.0,498000.0,Auto Loan,1,1
James Rodriguez,58,Female,Married,Graduate,Salaried,23900.0,1991.67,4700.0,257000.0,36,788,3,27800.0,Semiurban,85.0,58600.0,Personal Loan,2,1
Jennifer Verma,66,Female,Married,Graduate,Salaried,85300.0,7108.33,22300.0,161000.0,36,617,1,140100.0,Urban,53.22,77600.0,Personal Loan,1,1
John Brown,24,Female,Divorced,Graduate,Unemployed,23300.0,1941.67,0.0,335000.0,240,719,1,9200.0,Rural,85.0,152500.0,Personal Loan,0,0
Patricia Williams,58,Female,Single,Graduate,Salaried,49300.0,4108.33,0.0,197000.0,240,627,2,1900.0,Urban,34.58,35400.0,Personal Loan,0,1
John Sharma,39,Male,Single,Not Graduate,Salaried,28500.0,2375.0,0.0,49000.0,360,642,0,1000.0,Urban,5.73,72300.0,Home Loan,1,1
Charles Brown,26,Female,Single,Not Graduate,Salaried,82800.0,6900.0,0.0,189000.0,120,671,2,37200.0,Semiurban,31.52,64400.0,Personal Loan,2,1
Michael Brown,54,Female,Single,Not Graduate,Salaried,129200.0,10766.67,0.0,227000.0,360,724,0,53200.0,Urban,5.86,57300.0,Personal Loan,0,1
William Smith,38,Male,Single,Post Graduate,Salaried,56300.0,4691.67,0.0,168000.0,120,659,0,30200.0,Semiurban,29.84,82300.0,Education Loan,3,1
Linda Verma,33,Female,Married,Not Graduate,Salaried,53700.0,4475.0,2700.0,143000.0,360,589,3,70600.0,Rural,27.6,80500.0,Personal Loan,1,1
Michael Johnson,61,Male,Single,Graduate,Salaried,85000.0,7083.33,0.0,339000.0,240,682,2,35900.0,Semiurban,28.41,485700.0,Auto Loan,0,1
Linda Smith,43,Female,Single,Not Graduate,Salaried,20200.0,1683.33,0.0,73000.0,180,619,0,13900.0,Semiurban,24.09,58500.0,Home Loan,1,0
David Lopez,39,Female,Married,Graduate,Unemployed,132400.0,11033.33,6700.0,10000.0,120,804,1,6000.0,Semiurban,5.0,12700.0,Home Loan,0,1
Carlos Rodriguez,65,Female,Single,Graduate,Business,29900.0,2491.67,0.0,326000.0,240,659,3,77600.0,Urban,85.0,552300.0,Business Loan,1,1
Sarah Miller,31,Male,Single,Graduate,Business,206400.0,17200.0,0.0,70000.0,60,627,0,3300.0,Urban,6.78,103600.0,Auto Loan,1,1
Elizabeth Williams,21,Female,Single,Not Graduate,Self-Employed,80000.0,6666.67,0.0,154000.0,24,838,0,23500.0,Urban,85.0,182900.0,Home Loan,0,1
Michael Lopez,44,Male,Divorced,Not Graduate,Salaried,87000.0,7250.0,0.0,146000.0,12,739,1,11300.0,Rural,85.0,22400.0,Personal Loan,2,0
Jessica Martinez,27,Female,Single,Graduate,Salaried,68000.0,5666.67,0.0,291000.0,60,608,0,9500.0,Urban,85.0,505300.0,Home Loan,2,0
Jessica Rodriguez,45,Male,Married,Not Graduate,Business,48700.0,4058.33,2700.0,309000.0,120,617,0,31100.0,Semiurban,60.12,305200.0,Auto Loan,0,1
Karen Lopez,41,Male,Married,Post Graduate,Salaried,58100.0,4841.67,500.0,64000.0,24,718,2,7900.0,Rural,66.89,85200.0,Home Loan,0,1
Thomas Johnson,35,Female,Single,Graduate,Salaried,22100.0,1841.67,0.0,302000.0,48,683,0,74400.0,Semiurban,85.0,312500.0,Business Loan,0,1
James Verma,21,Male,Divorced,Graduate,Self-Employed,64000.0,5333.33,0.0,300000.0,60,751,2,15600.0,Rural,85.0,132100.0,Personal Loan,2,0
Barbara Jones,32,Female,Single,Not Graduate,Salaried,64300.0,5358.33,0.0,182000.0,120,627,1,33900.0,Semiurban,33.9,276800.0,Home Loan,0,1
Robert Verma,27,Female,Single,Graduate,Salaried,119800.0,9983.33,0.0,264000.0,48,736,1,39000.0,Urban,58.1,422700.0,Business Loan,0,1
